"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
8,938173300E-2;2,465620041E1;-6,026799679E0;-2,147200012E1
1,453302810E-1;2,429019928E1;-5,038599968E0;-2,332639885E1
2,453302810E-1;2,307019997E1;6,588000059E-1;-2,422920036E1
3,453302810E-1;2,249679947E1;5,026400089E0;-2,377779961E1
4,453302810E-1;2,019099998E1;6,575799942E0;-2,590060043E1
5,453302810E-1;1,880019951E1;5,977999687E0;-2,721819878E1
6,453302810E-1;1,840979958E1;1,244400024E0;-2,785260010E1
7,453302810E-1;1,666519928E1;-6,929599762E0;-2,903599930E1
8,453302810E-1;7,929999828E0;-6,270800114E0;-3,313520050E1
9,453302810E-1;3,452600002E0;-5,770599842E0;-3,396479797E1
1,045330281E0;-9,759999514E-1;-4,330999851E0;-3,423320007E1
1,145330281E0;-6,600199699E0;-8,783999681E-1;-3,379399872E1
1,245330281E0;-1,978839874E1;1,427400017E1;-2,479039955E1
1,345330281E0;-1,478639984E1;2,072780037E1;-2,432679939E1
1,445330281E0;-9,296400070E0;1,734840012E1;-2,813319969E1
1,545330281E0;-4,660399914E0;1,445699978E1;-2,992659950E1
1,645330281E0;-7,942199707E0;1,179739952E1;-2,971920013E1
1,745330281E0;-2,256999969E1;4,257800102E0;-2,141099930E1
1,845330281E0;-2,516860008E1;2,354599953E0;-2,003240013E1
1,945330281E0;-2,343619919E1;4,770199776E0;-2,236260033E1
2,045330281E0;-2,181359863E1;9,625800133E0;-2,424139977E1
2,145330281E0;-2,314340019E1;1,306619930E1;-2,358259964E1
2,245330281E0;-2,307019997E1;1,551839924E1;-2,285059929E1
2,345330281E0;-2,314340019E1;1,568919945E1;-2,269199944E1
2,445330281E0;-2,297259903E1;1,664080048E1;-2,247239876E1
2,545330281E0;-2,314340019E1;1,942239952E1;-2,124020004E1
2,645330281E0;-2,278960037E1;1,888559914E1;-2,072780037E1
2,745330281E0;-2,608359909E1;2,091079903E1;-1,806819916E1
2,845330281E0;-2,385099983E1;2,308239937E1;-1,925160027E1
2,945330281E0;-2,255780029E1;2,574199867E1;-1,941020012E1
3,045330281E0;-2,480259895E1;2,644960022E1;-1,640900040E1
3,145330281E0;-2,935319901E1;2,527840042E1;-1,160219955E1
3,245330281E0;-2,927999878E1;2,492459869E1;-1,190719986E1
3,345330281E0;-2,386319923E1;2,941419983E1;-1,603079987E1
3,445330281E0;-2,326539993E1;2,929220009E1;-1,672620010E1
3,545330281E0;-2,613239861E1;2,924339867E1;-1,422519970E1
3,645330281E0;-2,348499870E1;3,290340042E1;-1,396899986E1
3,745330281E0;-1,293200016E0;3,908879852E1;-1,930039978E1
3,845330281E0;2,720599890E0;4,102859879E1;-1,729960060E1
3,945330281E0;2,683999836E-1;4,367599869E1;-1,094339943E1
4,045330281E0;-5,721799850E0;4,485939789E1;-5,843800068E0
4,145330281E0;-4,001599789E0;4,531079865E1;-9,284199715E0
4,245330281E0;-1,659199953E0;4,500579834E1;-1,122399998E1
4,345330281E0;-2,818199873E0;4,522539902E1;-1,060179996E1
4,445330281E0;-4,306600094E0;4,510339737E1;-9,271999359E0
4,545330281E0;-2,793799877E0;4,522539902E1;-9,955200195E0
4,645330281E0;2,439999953E-2;4,501799774E1;-1,241959953E1
4,745330281E0;1,427399993E0;4,539619827E1;-1,219999981E1
4,845330281E0;1,500599980E0;4,628680038E1;-9,601399422E0
4,945330281E0;-1,046759987E1;4,705540085E1;-2,244799852E0
5,045330281E0;-1,202919960E1;4,726279831E1;-9,271999598E-1
5,145330281E0;-1,078479958E1;4,816559982E1;2,561999857E-1
5,245330281E0;-1,065059948E1;4,849499893E1;1,561599970E0
5,345330281E0;-1,479859924E1;4,971500015E1;3,977200031E0
5,445330281E0;-1,393239975E1;5,081299973E1;6,087800026E0
5,545330281E0;-1,221220016E1;5,192319870E1;4,989799976E0
5,645330281E0;-8,625399590E0;5,276499939E1;7,075999975E-1
5,745330281E0;-1,890999913E0;5,327739716E1;-7,466399670E0
5,845330281E0;7,319999933E-1;5,386299896E1;-9,052399635E0
5,945330281E0;1,122399926E0;5,555879974E1;-6,466000080E0
6,045330281E0;-3,379400015E0;5,697399902E1;2,464400053E0
6,145330281E0;-3,076840019E1;4,709199905E1;6,441599846E0
6,245330281E0;-3,635599899E1;4,001599884E1;1,711660004E1
6,345330281E0;-3,424539948E1;4,038199997E1;2,149639893E1
6,445330281E0;-2,726700020E1;4,668939972E1;1,925160027E1
6,545330281E0;-1,626259995E1;5,098379898E1;2,041059875E1
6,645330281E0;-1,585999966E1;5,039819717E1;2,198439980E1
6,745330281E0;-1,909300041E1;4,937339783E1;1,977619934E1
6,845330281E0;-1,578679943E1;5,176459885E1;1,636019897E1
6,945330281E0;-1,749480057E1;5,003219986E1;1,738500023E1
7,045330281E0;-2,521739960E1;4,279759979E1;2,430239868E1
7,145330281E0;-2,953619957E1;3,894239807E1;2,501000023E1
7,245330281E0;-2,671800041E1;4,209000015E1;2,243579865E1
7,345330281E0;-1,943459892E1;4,271220016E1;2,652279854E1
7,445330281E0;-1,583559990E1;4,158979797E1;2,908479881E1
7,545330281E0;-1,503039932E1;4,434700012E1;2,365579987E1
7,645330281E0;-1,108979988E1;4,627460098E1;2,139879990E1
7,745330281E0;-4,282199860E0;5,062999725E1;7,344399929E0
7,845330281E0;-1,378600001E0;5,105699921E1;3,928400040E0
