"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
8,443824999E-2;3,076977369E-1;-3,273756641E-1;-1,023017156E-1
1,849422500E-1;-8,012650108E-1;1,049621987E-1;6,737021542E-1
2,854462500E-1;-2,863593467E-1;-9,103003800E-2;2,128427428E-1
3,859502500E-1;1,899480722E0;-1,035348934E0;-1,794833250E0
4,864552500E-1;1,364601116E0;-6,086928105E-1;-3,517591381E-1
5,869592500E-1;2,057542948E0;-4,058455905E-1;-1,251715209E0
6,874641250E-1;6,682486315E0;2,670946714E-1;-5,508672976E0
7,879681250E-1;2,875864726E0;-5,567181970E0;-6,829683537E0
8,884721250E-1;-4,961774710E0;-9,947346418E0;2,068387633E0
9,889761250E-1;3,348079430E0;-1,071524254E1;7,523693656E0
1,089480125E0;-1,257297546E-1;-5,102847558E-1;6,787545578E0
1,189984125E0;7,122862930E0;1,235296812E0;6,738883295E0
1,290488125E0;-1,813759518E-1;-3,265276424E0;5,419636254E0
1,390992125E0;7,468332803E-1;6,846083808E-1;4,276699136E0
1,491496125E0;1,415007477E0;7,621815782E0;-3,063210100E0
1,592000125E0;-2,416865606E0;7,742958981E0;1,519761515E0
1,692504667E0;4,985545396E0;-7,484500355E-1;1,622693560E0
1,793008667E0;9,047902563E-1;5,275469059E-1;3,708275515E0
1,893512667E0;-8,493738547E-1;-1,421156994E0;-2,469331503E0
1,994016667E0;-2,754885834E0;8,206631488E-1;-1,595564818E-1
2,094520667E0;-4,317939548E0;4,251777134E0;-1,883229994E0
2,195024667E0;3,096690964E0;2,185124955E0;2,471764237E0
2,295528667E0;5,286203085E-1;-7,943033159E-2;1,862034422E0
2,396032667E0;8,320527939E-1;1,820693731E0;2,632022969E0
2,496536667E0;-5,895637030E0;-4,787372147E0;-2,526109136E0
2,597040667E0;7,821026619E-1;3,301651953E0;-1,613933554E0
2,697544875E0;4,295613710E0;-3,412733263E-1;1,132641632E0
2,798048875E0;1,023994664E0;4,021539509E-2;8,761288132E-1
