"Time (s)";"X (hPa)"
-5,336887083E-1;1,009153595E3
4,716672917E-1;1,009158478E3
1,477018292E0;1,009163513E3
2,482383292E0;1,009167404E3
3,487722292E0;1,009170456E3
3,839315292E0;1,009174042E3
4,911677292E0;1,009179382E3
5,984023292E0;1,009185562E3
7,056390292E0;1,009192734E3
8,128745292E0;1,009199677E3
9,201071292E0;1,009202728E3
1,027342529E1;1,009202728E3
1,134579529E1;1,009203415E3
1,241817829E1;1,009202194E3
1,349057229E1;1,009202194E3
1,456292629E1;1,009202118E3
1,563532629E1;1,009202118E3
1,670773929E1;1,009201279E3
1,778013629E1;1,009201508E3
1,885256829E1;1,009201126E3
1,992505529E1;1,009201508E3
2,099749629E1;1,009202957E3
2,206992229E1;1,009203491E3
2,314236629E1;1,009203796E3
2,421479429E1;1,009203491E3
2,528727829E1;1,009200516E3
2,635968629E1;1,009199905E3
2,743208829E1;1,009199600E3
2,850448529E1;1,009198532E3
2,957689829E1;1,009196625E3
3,064927529E1;1,009195633E3
3,172165429E1;1,009192657E3
3,279407729E1;1,009186554E3
3,386649929E1;1,009184647E3
3,493889429E1;1,009182129E3
3,601127029E1;1,009181061E3
3,708366729E1;1,009180679E3
3,815607629E1;1,009178314E3
3,922842529E1;1,009173279E3
4,030078929E1;1,009171448E3
4,137320129E1;1,009171448E3
4,244560629E1;1,009171448E3
4,351803529E1;1,009171829E3
4,459046429E1;1,009172058E3
4,566287229E1;1,009172058E3
4,673531129E1;1,009170380E3
4,780777429E1;1,009170380E3
4,888021729E1;1,009170761E3
4,995265429E1;1,009172211E3
5,102507729E1;1,009172897E3
5,209754929E1;1,009172897E3
5,316994629E1;1,009171371E3
5,424239229E1;1,009170380E3
5,531484929E1;1,009170227E3
5,638732329E1;1,009170151E3
5,745974129E1;1,009170227E3
5,853217129E1;1,009173355E3
5,960459429E1;1,009174194E3
6,067698729E1;1,009174194E3
6,174937229E1;1,009173737E3
6,282180429E1;1,009173737E3
6,389418829E1;1,009173584E3
6,496657629E1;1,009172211E3
6,603893329E1;1,009170609E3
6,711131929E1;1,009165726E3
6,818369129E1;1,009162979E3
6,925605929E1;1,009160690E3
7,032837329E1;1,009160690E3
7,140066929E1;1,009161072E3
7,247306729E1;1,009161835E3
7,354548529E1;1,009161835E3
7,461786729E1;1,009162521E3
7,569029029E1;1,009163284E3
7,676273529E1;1,009167175E3
7,783515829E1;1,009170837E3
7,890754029E1;1,009176636E3
7,997995629E1;1,009178162E3
8,105238129E1;1,009178162E3
8,212483029E1;1,009173737E3
8,319727429E1;1,009172897E3
8,426972929E1;1,009169998E3
8,534220629E1;1,009169388E3
8,641467629E1;1,009169388E3
8,748715329E1;1,009168930E3
8,855958729E1;1,009167023E3
8,963201229E1;1,009167023E3
9,070445229E1;1,009167023E3
9,177685529E1;1,009161377E3
9,284926629E1;1,009157333E3
9,392167029E1;1,009157333E3
9,499409829E1;1,009152908E3
9,606653829E1;1,009147644E3
9,713896329E1;1,009147644E3
9,821141429E1;1,009151611E3
9,928387929E1;1,009153366E3
1,003563343E2;1,009156647E3
1,014287633E2;1,009157715E3
1,025011653E2;1,009157791E3
1,035735823E2;1,009157791E3
1,046460353E2;1,009157791E3
1,057184813E2;1,009157791E3
1,067908983E2;1,009160233E3
1,078633463E2;1,009160919E3
1,089357783E2;1,009161148E3
1,100082213E2;1,009161148E3
1,110807373E2;1,009162750E3
1,121532573E2;1,009164658E3
1,132257413E2;1,009167862E3
1,142982483E2;1,009173737E3
1,153707163E2;1,009177551E3
1,164431773E2;1,009179611E3
1,175156823E2;1,009179611E3
1,185881903E2;1,009179459E3
1,196606903E2;1,009177704E3
1,207332253E2;1,009176331E3
1,218057863E2;1,009175186E3
1,228783333E2;1,009172897E3
1,239508633E2;1,009168625E3
1,250233543E2;1,009167862E3
1,260958453E2;1,009165573E3
1,271683273E2;1,009165573E3
1,282407953E2;1,009167786E3
1,293132863E2;1,009168701E3
1,303857733E2;1,009168701E3
1,314582483E2;1,009165955E3
1,325307763E2;1,009164276E3
1,336032573E2;1,009161682E3
1,346757383E2;1,009161682E3
1,357481993E2;1,009161987E3
1,368206133E2;1,009161987E3
1,378930483E2;1,009160461E3
1,389655003E2;1,009156113E3
1,400379793E2;1,009153366E3
1,411104603E2;1,009148712E3
1,421829113E2;1,009147034E3
1,432554133E2;1,009144516E3
1,443279023E2;1,009142990E3
1,454004093E2;1,009141693E3
1,464729083E2;1,009140015E3
1,475453953E2;1,009139404E3
1,486178783E2;1,009140015E3
1,496903923E2;1,009140091E3
1,507628813E2;1,009140472E3
1,518354013E2;1,009140091E3
1,529078993E2;1,009136658E3
1,539803993E2;1,009136658E3
1,550529223E2;1,009137802E3
1,561254223E2;1,009137802E3
1,571979373E2;1,009137955E3
1,582704453E2;1,009139252E3
1,593429363E2;1,009139252E3
1,604154273E2;1,009135284E3
1,614878703E2;1,009133759E3
1,625603473E2;1,009132690E3
1,636328673E2;1,009132080E3
1,647053933E2;1,009131699E3
1,657779143E2;1,009129333E3
1,668504453E2;1,009125900E3
1,679230043E2;1,009124069E3
1,689955363E2;1,009121475E3
1,700680713E2;1,009119873E3
1,711405893E2;1,009119873E3
1,722131383E2;1,009122162E3
1,732856263E2;1,009122162E3
1,743581243E2;1,009123917E3
1,754306463E2;1,009125366E3
1,765031663E2;1,009126434E3
1,775757003E2;1,009127808E3
1,786481913E2;1,009131165E3
1,797206903E2;1,009132538E3
1,807931723E2;1,009132919E3
1,818657153E2;1,009133530E3
1,829382163E2;1,009133530E3
1,840106833E2;1,009130783E3
1,850831703E2;1,009128418E3
1,861556973E2;1,009126587E3
1,872282583E2;1,009123840E3
1,883008093E2;1,009123001E3
1,893733513E2;1,009122314E3
1,904459103E2;1,009121323E3
1,915184543E2;1,009119415E3
1,925909423E2;1,009119415E3
1,936634623E2;1,009123230E3
1,947360193E2;1,009126968E3
1,958085383E2;1,009128418E3
1,968810323E2;1,009131165E3
1,979535773E2;1,009131165E3
1,990260923E2;1,009126968E3
2,000986343E2;1,009122162E3
2,011711153E2;1,009122009E3
2,022436753E2;1,009117508E3
2,033162263E2;1,009116287E3
2,043887843E2;1,009116287E3
2,054613443E2;1,009116287E3
2,065338923E2;1,009117508E3
2,076064013E2;1,009117889E3
2,086789593E2;1,009121552E3
2,097514883E2;1,009130173E3
2,108239863E2;1,009132004E3
2,118964883E2;1,009133530E3
2,129690303E2;1,009138107E3
2,140416373E2;1,009144287E3
2,151142343E2;1,009144897E3
2,161867813E2;1,009153595E3
2,172593173E2;1,009160919E3
2,183318853E2;1,009164429E3
2,194044173E2;1,009169159E3
2,204769713E2;1,009169159E3
2,215495713E2;1,009168243E3
2,226221693E2;1,009164047E3
2,236947413E2;1,009161377E3
2,247673673E2;1,009160843E3
2,258399743E2;1,009161377E3
2,269125873E2;1,009162140E3
2,279852063E2;1,009164276E3
2,290578173E2;1,009164429E3
2,301304143E2;1,009164429E3
2,312029883E2;1,009164276E3
2,322755653E2;1,009163818E3
2,333481693E2;1,009159470E3
2,344208243E2;1,009155426E3
2,354934693E2;1,009151154E3
2,365660593E2;1,009146347E3
2,376386653E2;1,009140930E3
2,387112563E2;1,009140930E3
2,397838563E2;1,009141769E3
2,408564553E2;1,009145584E3
2,419290343E2;1,009146576E3
2,430016533E2;1,009146576E3
2,440742733E2;1,009144669E3
2,451468843E2;1,009143066E3
2,462195013E2;1,009140320E3
2,472921233E2;1,009136887E3
