"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
8,890545834E-2;-3,432811432E0;5,075794830E0;8,523724823E0
1,894034583E-1;-2,071242828E0;4,449497223E0;8,055199127E0
2,899014583E-1;-1,562899933E0;2,651885376E0;9,228010254E0
3,903994583E-1;-2,310744781E0;2,571053467E0;6,888525238E0
4,908974583E-1;-2,165397034E0;2,982996826E0;1,030966095E1
5,913954583E-1;-1,786983948E0;1,645378418E0;1,008617569E1
6,918934583E-1;1,184486847E0;2,653082886E0;6,649472351E0
7,923919166E-1;2,048340454E0;7,911048889E-1;1,544787598E-1
8,928899167E-1;5,667514343E0;-5,990093536E0;3,274291077E0
9,933879166E-1;7,521558838E0;-1,110585526E1;7,271728363E0
1,093885917E0;1,118608841E1;-1,306483154E1;1,001642075E1
1,194383917E0;1,093161758E1;-7,677534485E0;2,960992584E0
1,294881917E0;6,308631134E0;-1,097412918E1;7,270081787E0
1,395379917E0;6,599775696E-1;-1,085362976E1;-1,291663971E0
1,495877917E0;9,082363129E0;-8,818162537E0;-3,045716400E0
1,596375917E0;-9,189390564E-1;-1,146016846E1;-1,914518738E-1
1,696873917E0;5,884263611E0;-6,215375061E0;2,343077545E0
1,797371417E0;7,131170654E0;-2,360291748E0;3,475622406E0
1,897870417E0;-5,370831299E0;-1,751253250E1;6,309529266E0
1,998368417E0;1,695224762E0;-4,635859680E0;2,608775024E0
2,098866417E0;6,601272583E-2;-9,371412048E0;1,455423431E0
2,199364417E0;5,831872559E-1;-9,682315521E0;3,560346222E0
2,299862417E0;2,044149170E0;-7,732470245E0;3,082240448E0
2,400360417E0;-4,324507141E-1;-8,532406769E0;3,457809448E0
2,500858417E0;1,321302338E0;-9,764344940E0;5,876928864E0
2,601357417E0;-3,916755066E0;-1,371013962E1;-1,447789307E0
2,701855417E0;9,675878906E-1;-1,044288391E1;2,730172577E0
2,802353917E0;1,436562653E0;-9,439071350E0;3,471730499E0
2,902851917E0;5,556295624E0;-6,072572021E0;3,166365509E0
3,003349917E0;1,819765778E0;-5,920937347E0;3,003803558E0
3,103848917E0;7,021299133E0;-6,340365143E0;5,166506195E0
3,204346917E0;4,580624542E0;-1,034992722E1;3,495980072E0
3,304844917E0;6,245761871E0;-9,164991302E0;2,322121124E0
3,405342917E0;2,781964874E0;-6,225703583E0;3,146007843E0
3,505840917E0;1,521136780E0;-6,824009399E0;3,597019958E0
3,606339917E0;-9,187893677E-1;-1,088641159E1;2,022144928E0
3,706837917E0;1,398092651E0;-9,279054108E0;5,453160095E0
3,807335583E0;-3,779041443E0;-1,228749802E1;-3,638783112E0
3,907833583E0;-3,981719971E-1;-1,031654663E1;3,773952026E0
4,008331583E0;-5,352868652E-1;-4,420457611E0;1,040635986E0
4,108830583E0;8,554710388E-1;-1,309297302E1;3,594475250E0
4,209328583E0;3,104244690E0;-1,085362976E1;3,530558167E0
4,309826583E0;2,222278748E0;-1,263028519E1;4,722679138E-1
4,410324583E0;2,461631012E0;-1,176718002E1;9,774673462E-2
4,510823583E0;3,267704773E-1;-7,888146515E0;1,865720215E0
4,611321583E0;-3,742218018E-2;-4,766537933E0;-2,142943726E0
4,711819583E0;1,886077881E0;-1,147708328E1;2,364483032E0
4,812318167E0;4,896318054E-1;-9,813143463E0;3,126997375E0
4,912817167E0;5,134323120E-1;-1,548919006E1;-1,335522766E0
5,013315167E0;2,962339783E-1;-1,183139648E1;7,961943054E-1
5,113813167E0;1,530417480E0;-9,993817749E0;1,418150940E0
5,214312167E0;-1,574126587E0;-3,945046234E0;1,438658295E0
5,314810167E0;4,261637878E0;-6,157744904E0;3,906127167E0
5,415308167E0;1,001417542E-1;-9,893526306E0;5,211712189E0
5,515807167E0;3,734733582E-1;-1,013452515E1;1,652563477E-1
5,616305167E0;-4,116739197E0;-1,464838852E1;2,860701141E0
5,716803167E0;2,570305023E0;-1,124776016E1;8,831634521E-1
5,817301667E0;8,220904541E-1;-9,547745361E0;-9,373507690E-1
5,917799667E0;1,407073975E-1;-9,664801941E0;-3,695814514E-1
6,018297667E0;7,857160950E-1;-9,690548401E0;2,594105530E-1
6,118796667E0;-2,338736572E0;-1,122066650E1;-4,744683380E0
6,219294667E0;-1,739532623E0;-1,166164948E1;-6,306385803E-1
6,319793667E0;5,748046875E-2;-6,170019379E0;-1,138233032E0
6,420291667E0;-4,926255798E-1;-4,435127106E0;9,476792908E-1
6,520789667E0;1,137634277E0;-1,416309769E1;1,735341339E0
6,621288667E0;2,656675415E0;-1,455797653E1;2,207309875E0
6,721786417E0;1,088237000E-1;-9,422755280E0;-8,382568359E-1
6,822285417E0;-2,718496857E0;-7,025191040E0;2,116598511E-1
6,922783417E0;-1,149609375E0;-8,589138794E0;-3,486250305E-1
7,023281417E0;6,168672180E-1;-8,972940674E0;-1,213526459E0
7,123780417E0;-1,185384979E0;-9,865235138E0;-6,436614990E-2
7,224278417E0;-1,171314240E0;-1,081366287E1;6,950047302E-1
7,324777417E0;-3,622766418E0;-9,164991302E0;-2,690355377E0
7,425275417E0;-7,219487000E-1;-1,499761230E1;-4,151916046E0
7,525774417E0;-7,997868347E-1;-6,618187408E0;3,536096649E0
7,626272417E0;-1,422940979E0;-8,847950592E0;-8,375083923E-1
7,726772042E0;3,967798920E0;-9,290580139E0;4,000730438E0
7,827270042E0;2,294728088E0;-1,399724258E1;-1,131197662E0
7,927769042E0;-1,387764130E0;-1,299971695E1;-1,333876190E0
8,028267042E0;-2,344125366E0;-9,394763489E0;1,235530701E0
8,128766042E0;1,770817566E0;-6,416556702E0;-1,097368011E0
8,229264042E0;-1,551972656E0;-1,063149170E1;-7,680528259E-1
8,329763042E0;-1,568887482E0;-9,116641846E0;9,907896423E-1
8,430261042E0;-1,293160858E0;-1,257789413E1;-3,715423737E0
8,530760042E0;-2,966830444E0;-1,066816544E1;-4,851710815E0
8,631259042E0;1,998793488E0;-8,865015106E0;-1,034349060E0
8,731756667E0;-1,037193146E0;-7,417076111E0;9,985734558E-1
8,832255667E0;-3,308120728E-2;-8,901239777E0;4,776567078E-1
8,932753667E0;1,243464203E0;-1,120090759E1;3,369642792E0
9,033252667E0;-4,893024902E0;-9,862840118E0;-3,346441040E0
9,133750667E0;-2,999612274E0;-8,067473602E0;-3,488345947E0
9,234249667E0;-2,368225250E0;-8,163723450E0;-2,552192688E-1
9,334748667E0;5,170248413E-1;-8,585546265E0;-9,630972290E-1
9,435246667E0;-1,034498749E0;-9,595046997E0;-2,556683350E-1
9,535745667E0;-3,128494263E-2;-1,053613998E1;-8,165519714E-1
9,636243667E0;-3,756588135E0;-6,874454498E0;-3,852388916E0
9,736742833E0;-2,621498566E0;-1,546703613E1;-4,501439209E0
9,837240833E0;-1,032103729E0;-8,055947571E0;4,818479919E-1
9,937739833E0;-1,631307678E0;-7,959847412E0;-4,465214539E-1
1,003823883E1;2,908152466E0;-1,010847931E1;2,358645172E0
1,013873683E1;2,119442596E0;-1,131452133E1;1,580114136E0
1,023923583E1;-2,672841797E0;-1,196432007E1;-1,373394012E0
1,033973483E1;-1,850002899E0;-9,281449127E0;-1,269210663E0
1,044023283E1;-2,146087189E0;-7,892038422E0;-1,139729919E0
1,054073183E1;-1,465751953E0;-9,532477112E0;-1,285077667E0
1,064123083E1;-1,753902740E0;-9,098379822E0;6,177653503E-1
1,074172896E1;1,230441284E-1;-1,117830460E1;-1,203347626E0
1,084222796E1;-3,525468750E0;-7,767946472E0;-3,986360321E0
1,094272596E1;1,908830566E0;-1,017359390E1;-4,060905304E0
1,104322496E1;-1,456920319E0;-6,935527496E0;7,114704895E-1
1,114372396E1;-1,794917450E0;-8,650361481E0;-4,640350342E-2
1,124422196E1;2,031126251E0;-1,187136337E1;2,154769135E0
1,134472096E1;-3,162174225E0;-1,699326233E1;-3,856729889E0
1,144521996E1;-2,188000031E0;-1,147663422E1;-4,381388855E0
1,154571796E1;-3,265609131E0;-8,472082214E0;1,532812500E-1
1,164621696E1;1,697470093E-1;-7,914491730E0;-1,843266907E0
1,174671592E1;-1,712738342E0;-9,608818359E0;-9,816586304E-1
1,184721392E1;-9,988728333E-1;-1,001447479E1;5,637277222E-1
1,194771292E1;-1,859882355E0;-8,780890045E0;-4,978048096E0
1,204821192E1;-5,366640015E0;-1,592313766E1;-1,878294067E0
1,214871092E1;5,059478760E-1;-8,330326996E0;-3,211272125E0
1,224920892E1;-1,551224213E0;-6,859635315E0;1,028361511E-1
