"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
2,415692806E-2;5,235572153E1;4,889725314E0;2,759562612E0;NaN;NaN;2,204709207E1;1,791609001E1
2,757894993E-2;5,235572153E1;4,889725314E0;2,850344896E0;NaN;NaN;2,204709207E1;1,817226791E1
2,757894993E-2;5,235572153E1;4,889725314E0;2,892389774E0;NaN;NaN;2,204709207E1;1,554307747E1
5,011129379E-1;5,235572153E1;4,889725314E0;2,908502102E0;NaN;NaN;2,204709207E1;1,445028973E1
1,815482020E0;5,235572153E1;4,889725314E0;2,913279772E0;NaN;NaN;2,204709207E1;1,486606216E1
5,583186865E0;5,235583120E1;4,889786560E0;1,090419769E0;2,619999886E0;7,207031250E1;1,997287790E1;3,000000000E0
6,197902918E0;5,235571888E1;4,889824446E0;1,066493988E0;1,789999962E0;1,079296875E2;1,803324918E1;3,000000000E0
7,198545933E0;5,235575832E1;4,889809610E0;1,301418304E0;1,289999962E0;1,444921875E2;1,406712773E1;3,000000000E0
8,202646017E0;5,235577776E1;4,889808856E0;1,523525238E0;1,299999952E0;1,599609375E2;1,548857159E1;4,000000000E0
9,205873966E0;5,235578618E1;4,889806677E0;1,517055511E0;9,499999881E-1;1,599609375E2;1,036392150E1;4,000000000E0
1,017909098E1;5,235577357E1;4,889818244E0;1,975002289E0;1,360000014E0;1,420312500E2;7,454632687E0;4,000000000E0
1,117882657E1;5,235576410E1;4,889833583E0;2,372341156E0;9,499999881E-1;1,160156250E2;7,098093230E0;4,000000000E0
1,217854869E1;5,235575907E1;4,889845820E0;1,937648773E0;8,500000238E-1;8,859375000E1;7,050385389E0;4,000000000E0
1,317828238E1;5,235575752E1;4,889857303E0;1,765834808E0;7,799999714E-1;8,613281250E1;7,301233729E0;4,000000000E0
1,417804241E1;5,235575291E1;4,889876498E0;1,513210297E0;1,389999986E0;9,246093750E1;7,216755464E0;6,000000000E0
1,517780769E1;5,235574612E1;4,889895190E0;1,657924652E0;1,389999986E0;9,808593750E1;7,289933206E0;6,000000000E0
1,617759573E1;5,235573891E1;4,889913462E0;1,474758148E0;1,289999962E0;1,016015625E2;6,299604841E0;6,000000000E0
1,717739880E1;5,235573658E1;4,889932009E0;1,474758347E0;1,289999962E0;1,016015772E2;6,299604841E0;6,000000000E0
1,817721021E1;5,235573267E1;4,889941817E0;2,308193355E0;1,009999990E0;1,044140739E2;5,613523773E0;4,000000000E0
1,917702413E1;5,235572607E1;4,889948359E0;2,102382778E0;8,100000024E-1;1,110937588E2;5,148675840E0;4,000000000E0
2,017686617E1;5,235572174E1;4,889961315E0;1,970791000E0;9,399999976E-1;1,037109481E2;4,810461692E0;4,000000000E0
