"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1,059202500E-1;-8,319417834E-1;-2,061849117E0;-1,501778960E0
2,064182500E-1;-2,367712736E0;-3,625209332E-1;-2,806813121E-1
3,069162500E-1;-1,288143158E0;3,000245094E-1;-7,522423863E-1
4,074132500E-1;-6,803004444E-2;-1,359607458E0;-2,567484677E-1
5,079112500E-1;4,006500840E-1;-9,587450027E-1;-5,855143070E-1
6,084092500E-1;1,896515846E0;-1,729510188E0;1,472324610E0
7,089072500E-1;7,519065738E-1;-4,192478657E0;7,103501558E-1
8,094052500E-1;-2,198157549E0;-4,435606003E0;7,799490690E-1
9,099020000E-1;-3,799324512E0;-1,427437663E0;2,273765802E0
1,010399000E0;-1,149961710E0;-2,902469158E0;4,140065193E0
1,110897000E0;6,333194673E-2;3,791630268E-1;3,262917280E0
1,211395000E0;5,912085772E-1;7,718207240E-1;1,022101760E0
1,311893000E0;8,604790270E-2;-6,822620034E-1;-3,799001127E-2
1,412391000E0;-3,506964818E-2;6,730760336E-1;7,410596013E-1
1,512889000E0;3,061886132E-1;1,345600128E0;5,693325996E-1
1,613387000E0;3,065675259E0;1,173359394E0;-2,310830057E-1
1,713884000E0;-1,052459478E0;-8,639498353E-1;2,632804811E-1
1,814382000E0;-4,061914608E-2;-2,947613239E0;-1,664344192E0
1,914880417E0;-6,285668910E-2;6,294258684E-2;-1,617281437E0
2,015378417E0;1,124551654E0;-9,630976915E-1;-1,182663441E-1
2,115876417E0;1,323047638E0;-2,617065609E-1;9,432462454E-1
2,216374417E0;-2,939055920E0;1,832903385E0;1,972049236E0
2,316872417E0;-2,284328461E0;-8,692960143E-1;2,617406845E0
2,417370417E0;-7,139764428E-1;1,270723939E0;1,166833401E0
2,517867417E0;-1,223356366E0;1,167280436E0;7,121318579E-1
2,618365417E0;-8,205950856E-1;1,016342640E0;-7,516166568E-2
2,718863417E0;3,105158210E-1;9,611715674E-1;-3,414418101E-1
2,819361417E0;3,316009045E0;-1,813168526E0;1,269858479E0
2,919859667E0;-7,494182587E-1;-5,939265490E-1;-1,510408998E0
3,020357667E0;3,321950734E-1;-9,717563987E-1;-7,033699155E-1
3,120855667E0;2,830219865E-1;-8,015928864E-1;6,674780846E-1
3,221353667E0;1,286238283E-1;-3,279602528E-2;-6,843400598E-1
3,321851667E0;-6,871010661E-1;3,400706649E-1;-1,508229613E0
3,422348667E0;-1,208085656E0;-4,030312225E-2;7,680938244E-1
3,522846667E0;-3,227381408E-1;7,054584622E-1;1,049922347E0
3,623344667E0;-7,649195790E-1;6,145918369E-1;1,741364002E-1
3,723842667E0;-5,848976374E-1;1,372605681E0;3,234947473E-2
3,824340667E0;-2,456997782E-1;1,441924423E-1;1,776854992E-1
3,924839125E0;2,511411428E0;-2,111144304E0;1,811395027E-2
4,025337125E0;2,510567188E0;6,204486489E-1;-6,974309087E-1
4,125835125E0;-9,100481272E-1;9,519775510E-1;-1,280936837E0
4,226333125E0;-4,651661217E-1;-1,531589508E0;7,914030552E-1
4,326830125E0;4,635985792E-1;7,302186489E-1;-8,369510770E-1
4,427328125E0;-3,449651301E-1;-2,517738044E-1;-8,983647227E-1
4,527826125E0;-1,224433422E0;4,478939474E-1;1,163661480E0
4,628324125E0;-7,402007580E-1;6,396770477E-1;1,283382535E0
4,728822125E0;-6,470996141E-1;9,895574450E-1;-7,005686406E-3
4,829320125E0;3,916190863E-1;1,636707902E0;5,676649213E-1
4,929817792E0;-3,823972773E-3;-1,043184847E-1;6,921863556E-2
5,030315792E0;1,337659955E0;-8,279904127E-1;-8,198863864E-1
5,130813792E0;2,481785059E0;-9,365249276E-1;4,077912569E-1
5,231311792E0;6,270256042E-1;2,209869623E-1;-1,212629080E0
5,331809792E0;-6,262875795E-1;-7,433261275E-1;5,990002155E-1
5,432307792E0;9,413084984E-1;3,688193485E-2;-1,021942258E0
5,532805792E0;-8,955526948E-1;-5,601306558E-1;-1,320714116E0
5,633303792E0;-1,153982639E0;-3,829545975E-1;1,054958224E0
5,733801792E0;-8,795761466E-1;4,543561041E-1;9,589534402E-1
5,834299792E0;-8,959761262E-1;8,685876131E-1;6,467375904E-2
5,934797417E0;3,024523258E-1;1,527852178E0;6,282113791E-1
6,035295417E0;-1,704661101E-1;-5,153477937E-2;-1,924933642E-1
6,135793417E0;1,065908909E0;-1,467134714E0;-1,020519257E0
6,236290417E0;1,849893451E0;-1,397607684E0;1,399157494E-1
6,336789417E0;4,591463804E-1;-5,612161756E-1;-9,536949396E-1
6,437287417E0;-4,439806342E-1;-1,162596345E0;1,160385966E0
6,537785417E0;4,672068357E-1;5,048400164E-1;-1,031005502E0
6,638283417E0;-2,140624523E-1;-1,511122733E-1;-1,413586020E0
6,738781417E0;-7,989271283E-1;7,927705050E-1;1,179518342E0
6,839279417E0;-8,361386657E-1;5,419204235E-1;1,048822641E0
6,939777625E0;-7,953003645E-1;9,091408253E-1;-1,560466290E-1
7,040275625E0;1,141994745E-1;7,355719805E-1;4,203098416E-1
7,140773625E0;-7,148004323E-2;4,977313280E-1;2,850873172E-1
7,241271625E0;1,315738678E0;-1,287029982E0;-9,154477715E-1
7,341769625E0;6,012004614E-1;-2,010153532E0;-2,713925540E-1
7,442267625E0;4,216932952E-1;-5,205242038E-1;-6,404441595E-1
7,542765625E0;-5,147017241E-1;-7,798227072E-1;1,156619549E0
7,643263625E0;-1,281303912E-1;3,291165233E-1;-4,523543715E-1
7,743761625E0;-1,715785265E0;-5,077781677E-1;-6,719186306E-1
7,844259625E0;-2,511685789E-1;1,260863066E0;1,417387605E0
7,944757875E0;-6,846874952E-1;2,107141972E0;1,854238063E-1
8,045255875E0;-8,285136223E-1;1,185759902E0;3,115832806E-1
8,145753875E0;-4,155163094E-2;3,950251043E-1;8,778627962E-2
8,246251875E0;9,434280396E-1;-5,486106873E-1;7,627543211E-1
8,346749875E0;2,173453569E0;-1,600995541E0;-4,364738166E-1
8,447247875E0;-1,636808634E0;-2,097357273E0;-1,180957913E0
8,547745875E0;8,596249819E-1;-7,607912421E-1;-2,056793869E-2
8,648243875E0;-6,780046225E-1;-6,669605970E-1;5,692449808E-1
8,748741875E0;-3,543404043E-1;-6,762133837E-1;3,662754595E-1
8,849239875E0;-1,446114779E0;-6,851577759E-1;7,508128881E-3
8,949737542E0;-5,367014408E-1;1,601393938E0;1,469538331E0
9,050235542E0;-2,414096743E-1;1,319196224E0;4,414839745E-1
9,150733542E0;-6,929404736E-1;1,372719646E0;2,598897815E-1
9,251231542E0;-3,711507320E-1;7,337128520E-1;1,458731890E-1
9,351729542E0;1,047163606E0;-5,943625569E-1;4,171158671E-1
9,452227542E0;2,502254009E0;-1,798199773E0;-1,523376405E-1
9,552726542E0;-1,979169369E0;-2,805147648E0;-9,563130736E-1
9,653224542E0;9,514713287E-1;-8,293798566E-1;1,095973477E-1
9,753722542E0;-6,885238290E-1;-7,220593095E-1;7,350059748E-1
9,854220542E0;-1,286085993E-1;-6,711489707E-2;1,580082923E-1
9,954719167E0;-1,607926369E0;-6,052502990E-1;2,008166350E-2
1,005521717E1;-4,198699594E-1;1,478147507E0;1,353452086E0
1,015571517E1;1,167932060E-2;1,887892962E0;3,607407510E-1
1,025621317E1;-7,967042327E-1;1,174010396E0;1,440363526E-1
1,035671117E1;-3,374408931E-2;5,364605188E-1;5,124924183E-1
1,045720917E1;9,932549596E-1;-2,792171538E-1;2,557587922E-1
1,055770717E1;1,946802974E0;-1,889730573E0;-5,001009107E-1
1,065820517E1;-1,412873268E0;-2,517148495E0;-1,040504098E0
1,075870317E1;7,643392086E-1;-9,951947927E-1;-1,476359218E-1
1,085920117E1;-4,956889451E-1;-5,096160769E-1;7,637985349E-1
1,095969850E1;-1,394282132E-1;9,705460072E-2;-2,251164466E-1
1,106019650E1;-8,654581904E-1;2,311415039E-2;-7,613676190E-1
1,116069450E1;-1,007676840E0;-5,426070839E-2;1,134524107E0
1,126119350E1;-9,520353079E-1;9,768797159E-1;8,117386103E-1
1,136169150E1;-7,729691863E-1;1,065090418E0;-1,690816432E-1
1,146218950E1;4,656705260E-1;1,083726406E0;7,239531875E-1
1,156268750E1;-2,602012157E-1;1,050335020E-1;1,041907817E-1
1,166318550E1;8,154033422E-1;-9,566315413E-1;-1,175933123E0
1,176368350E1;3,038988113E0;-6,719314456E-1;2,896278799E-1
1,186418150E1;8,016873002E-1;-1,556783915E-1;-1,146978617E0
1,196467950E1;-5,339247584E-1;-8,872448802E-1;7,344825864E-1
1,206517750E1;5,317756534E-1;4,539832473E-1;-9,587296247E-1
1,216567550E1;-2,271830589E-1;5,519242957E-2;-9,340045452E-1
1,226617350E1;-1,294423461E0;4,780879021E-1;7,369471192E-1
1,236667150E1;-6,619632840E-1;4,427740872E-1;1,164906621E0
1,246716950E1;-4,139113724E-1;6,922253370E-1;-6,642459333E-2
1,256766750E1;-2,816524506E-1;1,337793827E0;3,675616682E-1
1,266816550E1;-3,229260445E-1;8,364223838E-1;2,983040512E-1
1,276866350E1;1,059177756E0;-8,789398670E-1;-3,011496365E-2
1,286916150E1;3,399850607E0;-3,668329418E-1;1,896920055E-1
1,296965937E1;-6,886120439E-1;-4,951715469E-2;-1,899679899E0
1,307015838E1;4,484057426E-1;-5,454056263E-1;3,172202706E-1
1,317065638E1;-7,947807014E-2;1,230310723E-1;-1,510416865E-1
1,327115438E1;-7,783008814E-1;-1,725783825E0;7,875315547E-1
1,337165238E1;-1,268835664E0;1,425955296E-1;1,761062145E-1
1,347215038E1;-2,488466054E-1;9,844758511E-1;1,208247662E0
1,357264838E1;-4,049365520E-1;1,346863866E0;8,252750337E-2
1,367314638E1;-4,946080446E-1;1,541404486E0;3,996034563E-1
1,377364438E1;5,316268653E-4;6,501480937E-1;-4,973544553E-2
1,387414238E1;1,308130980E0;-3,855385482E-1;1,191447005E-1
1,397464067E1;3,950065851E0;-1,562052846E0;2,901124954E-1
1,407513867E1;-1,545995712E0;-9,962779880E-1;-1,537379503E0
1,417563667E1;7,768545151E-1;-8,593650460E-1;3,168497384E-1
1,427613467E1;-4,715429246E-1;-9,448982477E-1;2,720766962E-1
1,437663267E1;-6,174756289E-1;-4,964338541E-1;4,745095372E-1
1,447713067E1;-1,139016509E0;-1,598465294E-1;-8,716208339E-1
1,457762867E1;-5,370190144E-1;8,470572829E-1;1,148791671E0
1,467812667E1;-3,856270313E-1;1,487263560E0;4,509625137E-1
1,477862467E1;-6,707991362E-1;7,544282675E-1;3,389100432E-1
1,487912267E1;3,668923676E-2;2,481716871E-1;2,227789462E-1
1,497962100E1;4,530374408E-1;-1,702420712E-1;2,833893299E-1
1,508011900E1;1,251132607E0;-1,566970587E0;-1,000812769E0
1,518061700E1;1,787919104E-1;-2,500523329E0;-4,990991354E-1
1,528111500E1;1,008110404E0;-4,594020844E-1;-5,684279203E-1
1,538161300E1;-6,626120806E-1;-5,568202138E-1;9,345843792E-1
1,548211100E1;3,931062222E-1;1,802451164E-1;-4,004574120E-1
1,558260900E1;-1,132660270E0;-3,119686842E-1;-9,050400853E-1
1,568310700E1;-1,137945533E0;-8,570948243E-1;1,115780711E0
1,578360500E1;-7,811567187E-1;6,797202229E-1;8,811782598E-1
1,588410300E1;-7,078478336E-1;7,003262043E-1;1,327623278E-1
1,598460079E1;-3,561178148E-1;1,500556946E0;6,165714264E-1
1,608509879E1;-2,465051785E-2;3,779484928E-1;-1,123247370E-1
1,618559679E1;1,459000587E0;-1,511815071E0;-6,863370538E-1
1,628609479E1;9,023346305E-1;-1,831727505E0;5,548215657E-2
1,638659279E1;5,158959627E-1;-9,853690863E-1;-7,217433453E-1
1,648709079E1;-6,425453424E-1;-9,397922158E-1;1,168387651E0
1,658758879E1;5,796409845E-1;1,113753766E-1;-6,673332453E-1
1,668808679E1;-1,221970081E0;-6,468768716E-1;-1,040557504E0
1,678858479E1;-8,733149767E-1;1,909342110E-1;1,285094142E0
1,688908279E1;-9,214742780E-1;1,343541980E0;5,352006555E-1
1,698958037E1;-7,397722602E-1;7,413758636E-1;2,033004165E-1
1,709007838E1;2,976604402E-1;6,903339028E-1;5,353332758E-1
1,719057638E1;1,539301574E-1;4,030695558E-1;-8,178621531E-2
1,729107438E1;1,516873240E0;-1,153277278E0;-5,284032226E-1
1,739157238E1;1,328794360E0;-9,759560227E-1;-2,762545943E-1
1,749207038E1;3,297708333E-1;-9,141871333E-1;-7,055078149E-1
1,759256838E1;-8,015407920E-1;-8,717544079E-1;1,056696773E0
1,769306638E1;7,845613956E-1;1,177117452E-1;-1,000793219E0
1,779356438E1;-6,816130877E-1;-4,223116636E-1;-1,636265039E0
1,789406238E1;-7,495207787E-1;3,881552815E-1;1,457471013E0
