"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
3,000770833E-2;-1,067005157E1;-3,366385651E1;-3,738145447E1
1,305083750E-1;-1,410073090E1;-3,414918900E1;-3,590921021E1
2,310083750E-1;-1,511255646E1;-3,342449188E1;-3,692680359E1
3,315083750E-1;-2,050795746E1;-3,198130417E1;-3,563584900E1
4,320073750E-1;-2,030011749E1;-3,067432404E1;-3,718376160E1
5,325073750E-1;-2,020885468E1;-2,273579407E1;-4,225799561E1
6,330073750E-1;-2,862090302E1;-1,618684769E1;-4,050929260E1
7,335073750E-1;-4,075275421E1;-1,057093811E1;-3,043812561E1
8,340073750E-1;-4,725536346E1;-1,437606812E0;-2,088552856E1
9,345073750E-1;-5,067708588E1;2,710395813E0;-1,001470947E1
1,035007375E0;-5,015877533E1;7,776702881E0;5,490524292E0
1,135506833E0;-4,816849518E1;1,112658691E1;8,330581665E0
1,236006833E0;-4,378382111E1;2,002740479E1;1,007579041E1
1,336506833E0;-3,580289459E1;3,782181549E1;4,875076294E0
1,437006833E0;-3,041927338E1;4,927440643E1;-3,695526123E-1
1,537505833E0;-1,808214569E1;6,614356232E1;-7,852630615E-1
1,638006833E0;-1,566953278E1;8,127982330E1;8,687316895E0
1,738506833E0;-1,318880463E1;9,793268585E1;1,362200928E1
1,839005833E0;-3,455149078E1;8,546788788E1;7,237960815E0
1,939506833E0;-3,653572845E1;7,289009857E1;4,515640259E0
2,040005833E0;-3,716577911E1;7,238027191E1;4,061080933E0
2,140506208E0;-3,710527802E1;6,299037933E1;2,745437622E0
2,241007208E0;-3,394812775E1;5,538870239E1;3,089263916E0
2,341507208E0;-2,777916718E1;4,741901398E1;5,847137451E0
2,442007208E0;-2,821614838E1;4,141629791E1;5,914123535E0
2,542507208E0;-2,527521515E1;4,268383789E1;7,741409302E0
2,643007208E0;-2,558625031E1;4,022126770E1;9,130844116E0
2,743507208E0;-2,764665985E1;3,944601440E1;1,244647217E1
2,844007208E0;-2,463411713E1;4,166170502E1;1,342572021E1
2,944507208E0;-2,447547150E1;4,053896332E1;1,262455750E1
3,045007208E0;-2,332559967E1;3,859746552E1;1,229765320E1
3,145507708E0;-2,507271576E1;3,726865387E1;1,101766968E1
3,246007708E0;-2,611873627E1;3,827692413E1;8,759460449E0
3,346507708E0;-2,688033295E1;4,144033813E1;4,143203735E0
3,447007708E0;-3,094809723E1;4,088556671E1;2,047622681E0
3,547507708E0;-3,728801727E1;4,138906860E1;1,480484009E0
3,648007708E0;-3,772728729E1;4,290361023E1;1,038482666E0
3,748508708E0;-3,864948273E1;4,261267853E1;7,004699707E-1
3,849008708E0;-4,077065277E1;4,291414642E1;-1,119613647E0
3,949508708E0;-4,106581879E1;4,078689575E1;5,201263428E-1
4,050008708E0;-3,378968048E1;4,009162140E1;-1,635482788E0
4,150508125E0;-2,561226654E1;4,025932312E1;-4,347534180E0
4,251008125E0;-2,422811127E1;3,609198761E1;-2,864486694E0
4,351508125E0;-2,632984161E1;3,249893188E1;-5,566360474E0
4,452009125E0;-2,441168976E1;3,723525238E1;-5,999862671E0
4,552509125E0;-2,164225006E1;4,155131531E1;-4,347732544E0
4,653009125E0;-2,993105316E1;4,107263947E1;-3,528839111E0
4,753509125E0;-3,233716583E1;4,301152039E1;-2,602432251E0
4,854009125E0;-3,198024750E1;4,355001831E1;-9,501495361E-1
4,954510125E0;-3,497072601E1;4,353188324E1;-2,015472412E0
5,055010125E0;-3,831955719E1;4,141229248E1;-8,332672119E-1
5,155510083E0;-3,438101959E1;3,998393250E1;-7,678375244E-1
5,256010083E0;-2,615737152E1;3,734058380E1;-3,638702393E0
5,356511083E0;-2,442862701E1;3,671688080E1;-2,770751953E0
5,457011083E0;-2,815804291E1;3,126351166E1;-5,570587158E0
5,557511083E0;-2,773619843E1;2,880474854E1;-9,835433960E0
5,658012083E0;-2,246338654E1;4,132670593E1;-6,401168823E0
5,758512083E0;-2,566680145E1;4,459336090E1;-3,411987305E0
5,859013083E0;-3,167797089E1;4,672942352E1;7,728881836E-1
5,959513083E0;-3,027959442E1;4,917416382E1;2,047912598E0
6,060013083E0;-3,150337982E1;4,918785858E1;1,950561523E0
6,160514375E0;-3,742937469E1;4,713398743E1;-1,504791260E0
6,261014375E0;-3,785282135E1;4,633808136E1;2,249816895E0
6,361515375E0;-3,089339447E1;4,525495148E1;-1,221649170E0
6,462015375E0;-2,669545746E1;4,163005066E1;-1,008270264E0
6,562515375E0;-2,889990997E1;3,708634949E1;-1,677490234E0
6,663016375E0;-2,740024567E1;3,375788116E1;-5,817596436E0
6,763516375E0;-2,130188751E1;3,671939087E1;-5,919860840E0
