"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1,523250001E-3;-5,501808929E0;7,013215942E0;4,613256683E0
1,020272500E-1;-2,725532227E0;5,755231934E0;7,220085754E0
2,025312500E-1;-4,139491882E0;6,761589203E0;6,182144165E0
3,030352500E-1;-1,566193085E0;5,650000763E0;7,421417084E0
4,035392500E-1;-4,400848389E-2;3,306474152E0;7,663763123E0
5,040432500E-1;-1,953886871E0;5,274431763E0;8,014483795E0
6,045491250E-1;-1,095721436E-1;3,359463959E0;9,316925354E0
7,050531250E-1;6,695875854E0;2,757266235E0;1,590442657E0
8,055571250E-1;3,924538879E0;-3,863615570E0;2,231260071E0
9,060611250E-1;4,228556671E0;-8,314759369E0;8,609945526E0
1,006565125E0;1,501048553E1;-1,315090256E1;1,301408707E1
1,107069125E0;8,011490021E0;-4,217180328E0;9,030121765E0
1,207573125E0;1,687530762E1;-3,797004089E0;1,171688461E1
1,308077125E0;2,659519501E0;-8,977431335E0;6,695277100E0
1,408581125E0;5,135520630E0;-5,130880280E0;1,062550415E1
1,509085125E0;1,259076736E1;7,590864716E0;1,674717407E0
1,609588667E0;4,965174866E-1;-3,344644775E0;2,575843506E0
1,710092667E0;6,869514771E0;-1,225860809E1;3,230282593E0
1,810596667E0;6,728507996E0;-1,228600113E1;5,890251160E0
1,911100667E0;3,534899139E0;-6,542744293E0;1,520388336E0
2,011605667E0;7,041357422E-1;-6,490353241E0;1,195414124E0
2,112109667E0;4,937183075E0;-8,855285339E0;6,395450592E0
2,212613667E0;2,464325409E0;-1,327768890E1;6,790928192E0
2,313117667E0;1,753004608E0;-8,637338562E0;5,174739075E0
2,413621667E0;8,815168762E-1;-7,412735138E0;3,280278625E0
2,514125667E0;-2,175276489E0;-1,228151047E1;2,685864716E0
2,614629875E0;3,336860962E0;-5,082830200E0;1,695673828E0
2,715133875E0;1,020996826E1;-8,608298950E0;6,592590637E0
2,815637875E0;2,841690674E0;-3,453169098E0;-3,677851868E-1
2,916141875E0;2,820883942E0;-1,297082703E1;1,453477478E0
3,016645875E0;-6,333329773E-1;-1,406744659E1;-3,132984924E-1
3,117149875E0;-1,278641052E0;-1,259016861E1;-2,299667816E0
3,217653875E0;-2,024689636E0;-1,060828995E1;-7,472460938E-1
3,318157875E0;-9,003776550E-1;-5,104834442E0;-1,244811401E0
3,418661875E0;-1,016386414E0;-1,577180237E1;-1,088536377E0
3,519165875E0;-1,901495819E0;-1,202569244E1;-1,139131165E-1
3,619669250E0;-2,955753479E0;-6,838529205E0;-5,582191772E0
3,720173250E0;-2,356998596E0;-1,530013321E1;-2,315085754E0
3,820677250E0;-1,640887756E0;-5,579197998E0;1,736987915E0
3,921181250E0;-1,297651520E0;-6,837032318E0;9,759704590E-1
4,021685250E0;1,187181244E0;-1,129865433E1;2,357747040E0
4,122189250E0;1,629361725E0;-1,051742889E1;2,830014954E0
4,222694250E0;-3,087030487E0;-9,564510498E0;-1,246308289E0
4,323198250E0;-5,429958344E0;-6,636449432E0;2,239642639E0
4,423702250E0;4,766088867E-1;-4,958738251E0;-7,655081177E-1
4,524206250E0;-4,945715332E-1;-9,801767120E0;-3,240760803E-1
4,624710792E0;-2,962190094E0;-9,102271729E0;1,202299805E0
4,725214792E0;-2,459086304E0;-1,076022400E1;-6,821315002E-1
4,825718792E0;-7,462581482E0;-1,282143768E1;-5,198838959E0
4,926222792E0;1,822160797E0;-1,003183868E1;-1,168470154E0
5,026726792E0;-1,932182007E0;-4,801565094E0;1,162781982E0
5,127231792E0;-2,320175171E-2;-8,339158630E0;1,390608215E0
5,227735792E0;3,451821899E-1;-1,106229584E1;4,682861938E0
5,328239792E0;-1,035651352E1;-9,497899017E0;-3,516038361E0
5,428743792E0;-5,461392975E0;-8,969348145E0;-1,923500061E0
5,529247792E0;-2,859952698E0;-5,288203125E0;3,884422302E-1
5,629751375E0;-1,354682922E-1;-9,185348969E0;-1,261426849E0
5,730255375E0;-8,336164856E-1;-9,436526642E0;1,115929413E0
5,830759375E0;-2,517315216E0;-1,131856293E1;-2,360740814E0
5,931264375E0;-8,716673584E0;-1,376073441E1;-3,393742676E0
6,031768375E0;8,319699097E-1;-9,809700623E0;-3,718866577E0
6,132272375E0;-2,484683075E0;-5,451214142E0;5,956114197E-1
6,232776375E0;-1,304836578E0;-8,514294434E0;6,438111877E-1
6,333280375E0;-2,251318359E-1;-1,293086014E1;2,592458954E0
6,433784375E0;-5,839955750E0;-9,589059448E0;-1,959874420E0
6,534289375E0;-4,220922546E0;-8,121960297E0;-1,309327240E0
6,634793875E0;-2,727328491E0;-7,891140289E0;-1,268013153E0
6,735297875E0;-2,027982788E0;-6,928342438E0;-9,041198730E-1
6,835801875E0;-1,534908142E0;-8,885672150E0;-1,789378967E0
6,936305875E0;-1,982327728E0;-1,065529221E1;1,088237000E0
7,036810875E0;-2,765948181E0;-8,792565765E0;-6,902895355E0
7,137314875E0;-7,425608368E0;-1,529983383E1;-1,550326080E0
7,237818875E0;2,820135498E-1;-7,567962341E0;-2,088606720E0
7,338322875E0;-2,482737122E0;-6,570436707E0;-5,688171387E-2
7,438826875E0;7,418572998E-1;-8,915460205E0;1,542242889E0
7,539331875E0;-7,319778442E-1;-1,094898148E1;3,313808899E0
7,639836000E0;-3,555107117E-1;-1,002315674E1;-1,828298035E0
7,740340000E0;-5,321733398E0;-7,794740753E0;-4,873864746E-1
7,840845000E0;-8,845106506E-1;-7,007378082E0;-7,692503357E-1
7,941349000E0;5,649252319E-1;-8,798403625E0;-7,330256653E-1
8,041853000E0;-2,922372894E0;-9,568252716E0;1,821711731E0
8,142357000E0;-1,012943573E0;-1,082039886E1;1,745370483E-1
8,242862000E0;-6,470145264E0;-8,049810333E0;-4,880750427E0
8,343366000E0;-6,331832886E-1;-1,031594788E1;-3,675456848E0
8,443870000E0;-2,123933258E0;-6,405928802E0;1,251697083E0
8,544375000E0;-1,451830902E0;-7,922874298E0;7,851173401E-1
8,644878375E0;5,556445312E-1;-1,371777374E1;7,705975342E-1
8,745382375E0;-9,249415741E0;-1,354638016E1;-2,415826263E0
8,845886375E0;-3,726201324E0;-9,370214539E0;-3,242108002E0
8,946391375E0;-3,570525055E0;-7,412735138E0;-4,475692749E-1
9,046895375E0;-1,365460510E0;-7,557334442E0;-1,382674713E0
9,147399375E0;-1,587897949E0;-9,624984741E0;-7,376660156E-1
9,247904375E0;-1,950743408E0;-1,116498230E1;-2,980302429E-1
9,348408375E0;-2,835703125E0;-7,664361877E0;-6,249803467E0
9,448912375E0;-5,627697144E0;-1,342243790E1;-1,724264374E0
9,549417375E0;8,147557068E-1;-8,399932251E0;-2,461631012E0
9,649921292E0;-2,107018433E0;-6,303990784E0;-1,585203552E-1
9,750425292E0;-2,936892700E-1;-1,027373566E1;1,818418579E0
9,850930292E0;4,531077576E-1;-1,074615326E1;3,969744873E0
9,951434292E0;-6,138734436E-1;-7,250322876E0;-2,345322876E0
1,005193929E1;-3,506308594E0;-7,259304199E0;-1,033450928E0
1,015244329E1;-1,472188568E0;-7,788753204E0;-3,029699707E-1
1,025294729E1;1,109193420E-1;-8,199199677E0;-3,875440979E-1
1,035345229E1;-3,792663116E0;-1,098415833E1;-7,804769897E-1
1,045395629E1;-2,884351959E0;-1,133083740E1;4,715194702E-1
1,055446029E1;-5,024900665E0;-6,997498627E0;-4,992268524E0
1,065496525E1;-1,990859985E0;-1,120614670E1;-4,803810425E0
1,075546925E1;-1,890568542E0;-8,622220001E0;1,360371094E0
1,085597425E1;-1,934577026E0;-6,709198151E0;-3,742218018E-3
1,095647825E1;1,802252197E0;-1,102352646E1;1,613644409E0
1,105698225E1;2,198627930E0;-1,095242432E1;1,713935852E0
1,115748725E1;-4,592749329E0;-1,483250565E1;-8,484356689E-1
1,125799125E1;-4,301904144E0;-8,705746307E0;-6,616241455E-1
1,135849625E1;-2,656675415E0;-6,584357758E0;-9,710307312E-1
1,145900025E1;-1,084794159E0;-9,281898193E0;-6,536906433E-1
1,155950425E1;-1,926493835E0;-8,204438782E0;1,202000427E0
1,166000967E1;-2,732567596E0;-1,115270782E1;-1,535506897E0
1,176051367E1;-6,314618683E0;-9,570048981E0;-4,364474030E0
1,186101867E1;5,710624695E-1;-9,957892456E0;-2,812800751E0
1,196152267E1;-2,695594482E0;-6,388415222E0;9,895921326E-1
1,206202667E1;-1,222358093E0;-8,718320160E0;9,934840393E-1
1,216253167E1;8,864566040E-1;-1,105511078E1;2,132166138E0
1,226303567E1;-8,069419556E0;-2,029255142E1;-4,893623657E0
1,236354067E1;-3,497327271E0;-8,745264130E0;-3,287763062E0
1,246404467E1;-2,975362701E0;-8,224048004E0;-8,149053955E-1
1,256454967E1;-1,111588440E0;-7,463629303E0;-1,457219696E0
1,266505392E1;-1,677711182E0;-9,911938019E0;-8,147557068E-1
1,276555792E1;-2,446362762E0;-1,074779984E1;-3,772155762E-1
1,286606292E1;-2,276466064E0;-9,992021484E0;-4,067940674E0
1,296656692E1;-7,651788025E0;-1,197599579E1;-2,128423920E0
1,306707192E1;1,312770081E0;-9,329050140E0;-3,897295532E0
1,316757592E1;-2,098486176E0;-6,417005768E0;6,430627441E-1
1,326808092E1;-4,583468628E-1;-9,515262909E0;1,191222839E0
1,336858492E1;-6,667135620E-1;-1,043809387E1;4,060156860E0
1,346908992E1;-5,569917297E-1;-1,355087082E1;-2,608026581E0
1,356959392E1;-3,735482025E0;-7,735913086E0;-1,683998108E-1
1,367009837E1;-1,816772003E0;-8,466843109E0;-1,269659729E0
1,377060237E1;-2,834655304E0;-8,406219177E0;-5,611830139E-1
1,387110738E1;-3,629801788E0;-1,002225861E1;3,586541748E-1
1,397161137E1;-2,250420227E0;-1,048240173E1;2,571652222E-1
1,407211537E1;-4,978497162E0;-7,390880585E0;-5,358706512E0
1,417262038E1;-1,165027313E0;-1,061637314E1;-4,562512207E0
1,427312438E1;-1,693877563E0;-7,519463196E0;1,998494110E0
1,437362937E1;-2,056273956E0;-6,954987030E0;4,760101318E-2
1,447413337E1;2,297422485E0;-1,251382736E1;1,836830292E0
1,457463837E1;6,182144165E-2;-1,557331512E1;-1,869911499E0
1,467514200E1;-2,812052307E0;-1,342064163E1;-3,102747803E0
1,477564700E1;-4,255201263E0;-8,959618378E0;1,691482544E-1
1,487615100E1;-2,896027679E0;-7,517367554E0;-1,745520172E0
1,497665600E1;-2,498604126E0;-1,092024124E1;-1,075513458E0
1,507716000E1;-2,507735138E0;-9,798174591E0;3,845503235E-1
1,517766500E1;-3,617078247E0;-9,281299438E0;-5,761069794E0
1,527816900E1;-6,738088074E0;-1,387270157E1;-1,822909241E0
1,537867400E1;1,011147308E0;-7,186854858E0;-6,953041077E-1
1,547917800E1;-1,823807373E0;-6,712790680E0;3,748205566E-1
1,557968300E1;-1,634600830E-1;-9,358389130E0;1,593586121E0
1,568018750E1;6,375242615E-1;-1,098326019E1;2,270328827E0
1,578069250E1;-4,967719574E0;-6,720424805E0;-1,258433075E0
1,588119650E1;-3,797153778E0;-7,554490356E0;-2,019450531E0
1,598170150E1;-3,764970703E0;-7,282356262E0;-8,647517395E-1
1,608220550E1;-1,724414063E0;-8,086633759E0;-1,469344482E0
1,618271050E1;-1,032852173E0;-9,431586914E0;-8,334667969E-1
1,628321450E1;-2,100881195E0;-1,007464966E1;3,653901672E-1
1,638371950E1;-4,864434357E0;-8,751700745E0;-4,026776276E0
1,648422350E1;-6,116430817E0;-1,351689148E1;-2,494712219E0
1,658472750E1;-5,785469055E-1;-7,727829895E0;-8,831634521E-2
1,668523287E1;-1,528172150E0;-7,402107239E0;-3,083587646E-2
1,678573687E1;3,680845642E-1;-9,188342743E0;1,950444031E0
1,688624187E1;7,855664063E-1;-1,058389069E1;2,994971924E0
1,698674587E1;-9,957293701E-1;-8,872948608E0;-1,652114410E0
1,708725087E1;-2,962190094E0;-7,172335052E0;-7,041357422E-1
1,718775487E1;-1,506916351E0;-8,146808624E0;-1,002165985E0
1,728825988E1;-1,037642212E0;-8,031099243E0;-1,502725067E0
1,738876388E1;-2,719095612E0;-1,003498215E1;-2,553689575E-1
1,748926887E1;-1,578617249E0;-1,076666061E1;-3,969744873E-1
1,758977287E1;-5,662574615E0;-7,572602692E0;-5,386997681E0
1,769027737E1;-5,842350769E-1;-1,116064133E1;-3,308869171E0
1,779078137E1;-2,322719879E0;-6,760990448E0;1,828298035E0
1,789128638E1;-2,524051208E0;-7,883206787E0;5,535488892E-1
1,799179038E1;1,666933594E0;-1,168515060E1;1,269959106E0
1,809229537E1;-8,934470673E0;-2,280208282E1;-4,379293213E0
1,819279937E1;-3,427722015E0;-8,471782837E0;-3,231031036E0
1,829330338E1;-2,583627319E0;-8,353828125E0;-5,444178772E-1
