"Time (s)";"X (hPa)"
-5,500027084E-1;1,008736725E3
4,555652917E-1;1,008742065E3
1,461123292E0;1,008744659E3
2,466671292E0;1,008747482E3
3,472179292E0;1,008753510E3
3,823545292E0;1,008754959E3
4,896115292E0;1,008757401E3
5,968719292E0;1,008758087E3
7,041341292E0;1,008761749E3
8,113955292E0;1,008762665E3
9,186610292E0;1,008762665E3
1,025929329E1;1,008764343E3
1,133196529E1;1,008764343E3
1,240463129E1;1,008770599E3
1,347731229E1;1,008773804E3
1,454997929E1;1,008779221E3
1,562263329E1;1,008786621E3
1,669534129E1;1,008786850E3
1,776797129E1;1,008787079E3
1,884057829E1;1,008786850E3
1,991320129E1;1,008786621E3
2,098578229E1;1,008785934E3
2,205838529E1;1,008785172E3
2,313100529E1;1,008785172E3
2,420360129E1;1,008786163E3
2,527623829E1;1,008788528E3
2,634886529E1;1,008790436E3
2,742151129E1;1,008790970E3
2,849410429E1;1,008790436E3
2,956671829E1;1,008789597E3
3,063932229E1;1,008785706E3
3,171189829E1;1,008783035E3
3,278446929E1;1,008780670E3
3,385703029E1;1,008780518E3
3,492961529E1;1,008775253E3
3,600223929E1;1,008774033E3
3,707488229E1;1,008772354E3
3,814750929E1;1,008769150E3
3,922011629E1;1,008766861E3
4,029271129E1;1,008766861E3
4,136529629E1;1,008767014E3
4,243788629E1;1,008768463E3
4,351047029E1;1,008770981E3
4,458303229E1;1,008774796E3
4,565560129E1;1,008775406E3
4,672816129E1;1,008777390E3
4,780069729E1;1,008777618E3
4,887326629E1;1,008778381E3
4,994587429E1;1,008778381E3
5,101842529E1;1,008777618E3
5,209102929E1;1,008772964E3
5,316362429E1;1,008769989E3
5,423623229E1;1,008769989E3
5,530882029E1;1,008770447E3
5,638139129E1;1,008772888E3
5,745398729E1;1,008778229E3
5,852660229E1;1,008784714E3
5,959920429E1;1,008786774E3
6,067182029E1;1,008787231E3
6,174445829E1;1,008787231E3
6,281709029E1;1,008788300E3
6,388972129E1;1,008788300E3
6,496238829E1;1,008798828E3
6,603502929E1;1,008804550E3
6,710767829E1;1,008816071E3
6,818033029E1;1,008823700E3
6,925299029E1;1,008829956E3
7,032570329E1;1,008831482E3
7,139841229E1;1,008831482E3
7,247110029E1;1,008829956E3
7,354379229E1;1,008829117E3
7,461644629E1;1,008826370E3
7,568910629E1;1,008823700E3
7,676177929E1;1,008821487E3
7,783445129E1;1,008814392E3
7,890714429E1;1,008810272E3
7,997983929E1;1,008806458E3
8,105254729E1;1,008802338E3
8,212528129E1;1,008801804E3
