"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1,059202500E-1;7,564004946E-1;-1,860938947E0;2,832987678E-1
2,064182500E-1;4,516798675E-1;-9,504114023E-1;-3,248258688E0
3,069162500E-1;1,246679002E-1;6,240513264E-1;-1,887943143E0
4,074132500E-1;1,018008431E0;1,467218873E0;2,057994207E0
5,079112500E-1;7,675701383E-1;-2,131238294E-1;1,454791932E0
6,084092500E-1;6,910607833E-1;-1,339985361E0;-3,159066430E0
7,089072500E-1;1,515551812E0;-2,005961004E0;-7,613894559E0
8,094052500E-1;-7,657080925E-1;-4,157042885E0;-6,454985772E0
9,099020000E-1;1,520281917E-1;-5,761107216E0;3,219174637E0
1,010399000E0;2,228899550E0;-9,794964470E0;6,785324805E0
1,110897000E0;1,029853136E1;-6,526214799E0;9,844438931E0
1,211395000E0;8,489875292E0;1,549984018E0;-5,110454786E-1
1,311893000E0;1,656771133E0;4,241716415E-1;1,428170144E0
1,412391000E0;2,330018958E-1;1,930244824E0;3,903164967E0
1,512889000E0;5,403585939E-1;1,668167356E0;1,250910047E0
1,613387000E0;1,831055582E-3;-2,054917402E0;-1,357624949E0
1,713884000E0;-4,636987608E0;3,997857116E0;-8,431142349E0
1,814382000E0;5,339794278E-1;-1,406241916E0;-3,242438954E-1
1,914880417E0;-2,393938381E0;-2,849289715E-1;-3,724174241E-1
2,015378417E0;-1,785754863E0;2,082674720E0;-7,336730982E-1
2,115876417E0;1,734097052E0;-9,469407874E-1;2,536858365E0
2,216374417E0;5,569968753E0;-2,989213586E-2;-3,826695081E0
2,316872417E0;-2,153603638E0;-2,048934531E-1;-2,953347934E0
2,417370417E0;-1,334971958E0;8,409909940E-1;1,301511852E0
2,517867417E0;9,073494364E-1;2,817310708E0;7,468778653E-1
2,618365417E0;1,227736947E0;-1,147378662E0;4,367002366E0
2,718863417E0;-3,658354327E-2;-9,162557691E-1;3,291163510E0
2,819361417E0;-4,414736695E0;1,514002007E-1;-5,808631046E0
2,919859667E0;6,695674710E0;-4,628801506E0;-5,019216587E0
3,020357667E0;-2,482221105E0;4,320519925E0;2,478697280E0
3,120855667E0;-1,872162969E0;-1,298715713E0;-1,602159308E0
3,221353667E0;3,388543332E0;-2,886296743E0;1,995180639E0
3,321851667E0;-2,901375835E0;-6,753383220E0;-6,658810354E0
3,422348667E0;-2,436945675E0;9,915164512E-1;-1,498185289E0
3,522846667E0;-8,438818574E-2;1,331268917E0;5,340729833E-1
3,623344667E0;2,417217462E0;1,644331766E0;7,955698959E-1
3,723842667E0;-5,623333074E-1;-7,376566601E-1;3,289562542E0
3,824340667E0;1,953021922E0;-1,629190401E0;3,169455178E0
3,924839125E0;-3,312200915E0;1,634468683E0;-1,705092523E0
4,025337125E0;6,893859945E-2;-3,500247955E0;-5,659266846E0
4,125835125E0;-3,264662174E0;5,639743577E0;2,330867097E0
4,226333125E0;-2,980369672E0;1,994496369E0;-2,875373560E0
4,326830125E0;8,375161691E0;-5,052387257E0;3,607840231E0
4,427328125E0;-2,707520463E0;-6,692787940E0;-3,061123229E0
4,527826125E0;-6,094216075E0;1,108889950E0;-1,001157925E0
4,628324125E0;1,085997589E0;5,008309776E-1;-1,002195221E-1
4,728822125E0;1,636241266E0;2,131830508E0;-1,698393953E-1
4,829320125E0;2,160749374E-1;-2,268532562E-1;5,859576666E0
4,929817792E0;1,969711337E0;-2,231523780E0;1,954421307E0
5,030315792E0;-3,427069174E0;9,784379840E-2;-1,147959291E0
5,130813792E0;3,888455712E0;-8,010390159E0;-9,782416345E0
5,231311792E0;-3,472428072E0;3,840266469E0;5,612456961E0
5,331809792E0;-1,405525047E0;2,372228839E0;-2,973585148E0
5,432307792E0;9,839293381E0;-5,722651248E0;4,052818897E0
5,532805792E0;-2,463457097E0;-3,759352698E0;-5,111575112E0
5,633303792E0;-5,315018456E0;-8,673443949E-1;-1,611508567E0
5,733801792E0;1,525741170E0;6,517768496E-1;-2,215535154E0
5,834299792E0;1,134435631E0;1,459836325E0;-2,567799272E-1
5,934797417E0;-1,483396219E-1;7,777732372E-2;6,588285917E0
6,035295417E0;2,518176511E0;-2,307125940E0;4,207178081E0
6,135793417E0;-3,533499024E0;-2,243086649E0;-2,622041187E0
6,236290417E0;5,194834785E0;-3,714418600E0;-1,093097907E1
6,336789417E0;-3,559058080E0;4,585767168E0;4,962938890E0
6,437287417E0;-2,189443270E0;2,035169601E0;-2,773596339E0
6,537785417E0;5,862590906E0;-3,876573000E0;4,945760356E0
6,638283417E0;-7,960898595E-1;-5,002311702E0;-4,910513924E0
6,738781417E0;-7,825754970E0;3,684166861E-1;2,129702121E-3
6,839279417E0;3,509981230E0;1,177227529E0;8,541367042E-1
6,939777625E0;1,108302012E0;7,265229768E-1;5,265903014E-1
7,040275625E0;2,147644302E-1;2,315282221E0;5,756362785E0
7,140773625E0;1,907843264E0;3,911921757E-1;5,272262446E0
7,241271625E0;-5,707786456E0;-7,901843618E0;-1,726600921E0
7,341769625E0;7,874234235E0;-4,193278080E-1;-1,234727995E1
7,442267625E0;-5,668271558E0;4,892546600E0;2,675525961E0
7,542765625E0;-1,619681111E-1;1,425578073E0;-1,982673883E0
7,643263625E0;2,406226889E0;-8,759362936E-2;3,640364783E0
7,743761625E0;-7,057119176E0;-6,510529643E-1;-4,046891282E0
7,844259625E0;-6,955963515E0;-1,055404884E-1;5,823709846E-2
7,944757875E0;3,125587904E0;3,300847961E0;5,095373355E-1
8,045255875E0;5,831162853E-1;-1,511062612E0;8,184551670E-1
8,145753875E0;3,223937194E0;4,994452459E0;4,593716458E0
8,246251875E0;4,328695209E-1;1,737980772E0;3,522315931E-1
8,346749875E0;-5,555782823E0;-9,879139817E0;3,082008898E-1
8,447247875E0;5,368080184E0;5,336194147E0;-6,969926081E0
8,547745875E0;-4,231861517E0;2,185127293E0;-1,127610688E0
8,648243875E0;3,751540233E0;7,761763626E-1;1,710632760E0
8,748741875E0;-9,268689041E-1;3,842263877E-2;3,171313423E-1
8,849239875E0;-7,744657012E0;5,899758732E-1;-2,555842520E0
8,949737542E0;-5,578516797E0;3,452979648E-1;1,374689171E0
