"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
3,101205826E-2;5,235702186E1;4,891340067E0;3,320063710E0;NaN;NaN;4,000000000E1;1,469315052E1
1,658395052E0;5,235697847E1;4,891401403E0;3,320063710E0;NaN;NaN;4,000000000E1;2,507172775E1
2,985124826E0;5,235708274E1;4,892720226E0;-2,817953873E1;1,429999948E0;1,100390625E2;2,959897844E1;2,400000000E1
3,985134721E0;5,235708789E1;4,891613647E0;2,802242661E1;1,429999948E0;1,613671875E2;2,058175872E1;2,400000000E1
4,985145450E0;5,235707572E1;4,891620353E0;2,802242683E1;1,429999948E0;1,613671928E2;2,058175872E1;2,400000000E1
5,985155344E0;5,235708248E1;4,891599205E0;2,808669683E1;1,340000033E0;1,606640677E2;1,068597273E1;1,200000000E1
6,985164165E0;5,235708569E1;4,891583449E0;2,769833007E1;9,599999785E-1;2,028515582E2;1,078919002E1;1,200000000E1
7,985171556E0;5,235708698E1;4,891593099E0;2,069533929E1;4,799999893E-1;1,835156247E2;8,534551105E0;1,200000000E1
8,985210180E0;5,235708032E1;4,891601354E0;1,952407466E1;7,099999785E-1;1,849218743E2;8,525852468E0;1,200000000E1
9,985220909E0;5,235707328E1;4,891618882E0;1,792635738E1;7,099999785E-1;1,585546905E2;7,119722676E0;1,200000000E1
1,098523378E1;5,235706282E1;4,891636850E0;1,756234373E1;9,200000167E-1;1,515234426E2;6,457295316E0;8,000000000E0
1,198524988E1;5,235705439E1;4,891644317E0;2,080837645E1;9,399999976E-1;1,529296925E2;5,662129228E0;8,000000000E0
1,298527336E1;5,235705142E1;4,891647353E0;2,333913817E1;9,399999976E-1;1,455468812E2;5,316437304E0;8,000000000E0
1,398529005E1;5,235704025E1;4,891644007E0;1,936251463E1;9,399999976E-1;1,480078183E2;5,528187721E0;8,000000000E0
1,498531306E1;5,235703184E1;4,891642510E0;2,117275631E1;7,799999714E-1;1,413281307E2;5,203098956E0;8,000000000E0
1,598532701E1;5,235702757E1;4,891633757E0;2,208126458E1;4,799999893E-1;1,648828140E2;5,017650069E0;6,000000000E0
1,698534203E1;5,235701976E1;4,891627690E0;2,297842036E1;6,800000072E-1;1,807031249E2;4,806885935E0;6,000000000E0
1,798536432E1;5,235701197E1;4,891618312E0;2,054726801E1;6,600000262E-1;2,091796838E2;4,947873200E0;6,000000000E0
1,898538589E1;5,235700246E1;4,891621981E0;2,050265132E1;6,800000072E-1;1,831640621E2;4,775521443E0;6,000000000E0
1,998540151E1;5,235699873E1;4,891622389E0;2,236849602E1;4,000000060E-1;1,764843753E2;4,794507238E0;6,000000000E0
2,098542011E1;5,235699159E1;4,891623221E0;2,341866694E1;6,200000048E-1;1,698046888E2;4,626802264E0;6,000225956E0
2,198543513E1;5,235698896E1;4,891620196E0;2,392763909E1;4,000000060E-1;1,831640622E2;4,588386299E0;6,000305317E0
2,298544598E1;5,235698137E1;4,891612659E0;2,400374994E1;6,200000048E-1;1,975781228E2;4,556901358E0;6,000369864E0
2,398545766E1;5,235696802E1;4,891599382E0;2,317739503E1;1,080000043E0;2,119921808E2;4,400293878E0;6,000684314E0
2,498546875E1;5,235689837E1;4,891662997E0;1,833434361E0;9,511383354E-1;2,276610712E2;5,289687782E0;2,417382924E0
2,598547864E1;5,235689927E1;4,891661682E0;2,056670871E0;4,558505082E-1;NaN;5,305088321E0;2,383395673E0
2,698548746E1;5,235689116E1;4,891651930E0;2,328943269E0;4,545053058E-1;NaN;5,312160833E0;2,367590404E0
2,798549640E1;5,235688525E1;4,891616794E0;2,519948091E0;8,871151890E-1;2,529501239E2;5,237016626E0;2,529465139E0
2,898550606E1;5,235686124E1;4,891582068E0;2,640405572E0;9,840357501E-1;2,371205904E2;5,172146056E0;2,659594369E0
2,998551059E1;5,235684521E1;4,891557827E0;2,624935896E0;9,503713498E-1;2,404471768E2;5,119488860E0;2,759596138E0
3,098551571E1;5,235682607E1;4,891551625E0;2,580830720E0;8,677039762E-1;2,195972592E2;5,078744700E0;2,833882372E0
3,198552251E1;5,235682146E1;4,891539142E0;3,026546107E0;5,671345725E-1;2,405819691E2;5,039587469E0;2,902945947E0
3,298552656E1;5,235681121E1;4,891524595E0;3,302221640E0;9,108244375E-1;2,166396459E2;5,014674790E0;2,945772188E0
3,398553085E1;5,235681642E1;4,891497631E0;3,194071932E0;7,781652375E-1;2,619256951E2;4,978956841E0;3,005748794E0
3,498553503E1;5,235679877E1;4,891470483E0;3,165449535E0;1,300877612E0;2,141727477E2;4,960301374E0;3,036436614E0
3,598553801E1;5,235680251E1;4,891451341E0;3,320179337E0;1,002763460E0;2,227864024E2;4,940285238E0;3,068895371E0
3,698554111E1;5,235679385E1;4,891446343E0;3,423482375E0;9,939707527E-1;2,119350735E2;4,931573621E0;3,082875062E0
3,798554349E1;5,235678878E1;4,891429943E0;3,420339217E0;1,019855665E0;2,530681012E2;4,917873470E0;3,104683167E0
3,898554587E1;5,235678518E1;4,891416896E0;3,555977931E0;8,689916404E-1;2,637556559E2;4,910143286E0;3,116894279E0
3,998554838E1;5,235678961E1;4,891382878E0;3,394739677E0;1,134994927E0;2,721683245E2;4,906499250E0;3,122627442E0
4,098554957E1;5,235678974E1;4,891363569E0;3,436447456E0;1,177256186E0;2,697031350E2;4,901172497E0;3,130981505E0
