"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
3,000770833E-2;-2,682572901E-1;-1,087259173E0;1,977834404E-1
1,305083750E-1;4,617892802E-1;3,343384266E-1;2,455791235E-1
2,310083750E-1;-8,184751868E-1;-6,853632927E-1;-1,192877367E-1
3,315083750E-1;-8,032776713E-1;-1,440911055E0;-9,773692489E-1
4,320073750E-1;-1,961381555E0;-1,599144459E0;-1,321909279E-1
5,325073750E-1;-1,516664982E0;1,251273632E0;6,481920481E-1
6,330073750E-1;9,481179714E-1;-2,005558729E0;2,502244711E0
7,335073750E-1;-1,139141917E0;-3,201137304E0;1,622192025E0
8,340073750E-1;-8,045405746E-1;-2,101610661E0;4,721777439E-1
9,345073750E-1;4,478318095E-1;-4,016696453E0;6,896852255E-1
1,035007375E0;-2,695348740E0;-7,999968529E-1;1,320508242E0
1,135506833E0;-4,051496983E0;2,563737519E-2;1,549190998E0
1,236006833E0;-1,786030650E0;-8,997537941E-2;1,674653649E0
1,336506833E0;-1,461299777E0;2,194121838E0;3,134102225E-1
1,437006833E0;-4,958692566E-2;5,916991830E-1;6,449183226E-1
1,537505833E0;-2,542384267E-1;-5,529601574E-1;9,441394806E-1
1,638006833E0;-2,715779245E-1;-6,230241619E-3;1,078200459E0
1,738506833E0;-3,141658604E-1;-1,660908163E-1;1,508097172E0
1,839005833E0;-8,083649874E-1;-8,248380572E-2;1,630514264E-1
1,939506833E0;-1,106185913E0;1,868606508E-1;5,421280265E-1
2,040005833E0;-1,907117665E-1;5,362594724E-1;2,032244205E-2
2,140506208E0;-3,069894314E-1;6,265879273E-1;-4,543103278E-1
2,241007208E0;1,191633865E-1;-3,118815422E0;1,389352798E0
2,341507208E0;-3,326029330E-2;-5,016658306E-1;-1,386898518E0
2,442007208E0;3,638837337E-1;-1,140598655E0;7,123057246E-1
2,542507208E0;1,649099588E-1;1,599926353E-1;5,617830753E-1
2,643007208E0;3,583597541E-1;-2,541155219E-1;4,650365114E-1
2,743507208E0;4,854822159E-1;-8,604588509E-1;-6,091189012E-2
2,844007208E0;6,888809055E-2;3,282861710E-1;1,278993011E0
2,944507208E0;-1,329099238E-1;2,021998644E0;6,394332051E-1
3,045007208E0;-1,148758411E0;1,145148873E0;3,084567189E-2
3,145507708E0;1,717495471E-1;7,380421460E-2;-2,245278358E-1
3,246007708E0;1,081301808E0;-4,824209213E-1;2,684842050E-1
3,346507708E0;1,751131058E0;-7,830228806E-1;4,420734197E-2
