"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
4,090104167E-2;7,582199097E0;-2,616048050E1;1,930723572E1
1,413940417E-1;8,383514404E0;-2,722449875E1;1,822021484E1
2,418880417E-1;9,647018433E0;-2,848926544E1;1,599298096E1
3,423810417E-1;1,445564270E1;-2,940183258E1;1,164912415E1
4,428740417E-1;1,968989563E1;-2,924301910E1;5,629318237E0
5,433680417E-1;1,874636078E1;-3,083819962E1;5,146209717E0
6,438610417E-1;1,534185791E1;-3,341639709E1;6,072265625E0
7,443550417E-1;1,547804260E1;-3,444736481E1;-2,925567627E-1
8,448480417E-1;1,178173828E1;-3,068257904E1;-1,342259216E1
9,453410417E-1;-3,634750366E0;-1,999886703E1;-2,789170837E1
1,045835000E0;-1,039897156E1;-9,547370911E0;-3,486302185E1
1,146328000E0;-1,150308228E1;-4,533363342E0;-3,870353699E1
1,246822000E0;-1,260957336E1;-1,844306946E0;-3,933145142E1
1,347315000E0;-1,932528687E1;6,438858032E0;-3,389797974E1
1,447808000E0;-2,005137634E1;8,157424927E0;-3,379692078E1
1,548302000E0;-2,299868774E1;1,096910858E1;-3,440954590E1
1,648795000E0;-2,790011597E1;1,642592621E1;-3,489024353E1
1,749289000E0;-3,543099976E1;2,381756592E1;-2,651914978E1
1,849782000E0;-3,792088318E1;2,478700256E1;-2,290629578E1
1,950275000E0;-3,884875488E1;2,282683563E1;-2,919168091E1
2,050769250E0;-4,040898132E1;2,253776550E1;-3,266210938E1
2,151262250E0;-4,276686096E1;2,250924683E1;-3,583570862E1
2,251756250E0;-4,377540588E1;1,938942719E1;-3,456071472E1
2,352249250E0;-3,919282532E1;1,383728790E1;-3,557189941E1
2,452742250E0;-4,139642334E1;1,054328918E1;-3,524589539E1
2,553236250E0;-4,235404968E1;8,244552612E0;-3,534606934E1
2,653729250E0;-4,128796387E1;8,425834656E0;-3,847340393E1
2,754223250E0;-4,455184937E1;1,210578156E1;-3,801530457E1
2,854716250E0;-4,734703064E1;1,441774750E1;-3,606779480E1
2,955209250E0;-4,656344604E1;2,063337708E1;-3,592303467E1
3,055703750E0;-4,731724548E1;2,278688049E1;-3,521246338E1
3,156196750E0;-4,979635620E1;2,748111725E1;-3,652767944E1
3,256689750E0;-4,985371399E1;2,728524780E1;-4,047061157E1
3,357183750E0;-4,733998108E1;2,027564240E1;-4,041795349E1
3,457676750E0;-4,767051697E1;2,405110168E1;-3,815756226E1
3,558170750E0;-4,503324890E1;1,810395813E1;-3,500515747E1
3,658663750E0;-4,354559326E1;5,392448425E0;-3,269219971E1
3,759156750E0;-4,486553955E1;6,130149841E0;-3,191363525E1
3,859650750E0;-4,840086365E1;4,125053406E0;-3,216586304E1
3,960143750E0;-5,158876038E1;6,327301025E0;-3,242085266E1
4,060637500E0;-4,923046875E1;6,169761658E0;-3,549943542E1
4,161130500E0;-4,188232422E1;5,165161133E0;-4,083222961E1
4,261623500E0;-3,828405762E1;6,683242798E0;-4,491606140E1
4,362117500E0;-3,849055481E1;8,966094971E0;-4,874441528E1
4,462610500E0;-3,793972778E1;8,026618958E0;-5,050912476E1
4,563104500E0;-4,059997559E1;2,160530090E0;-4,854627991E1
4,663597500E0;-4,242430115E1;1,514297485E0;-4,980696106E1
4,764090500E0;-4,715545654E1;1,759552002E0;-5,002824402E1
4,864584500E0;-5,100367737E1;3,710899353E0;-4,698797607E1
4,965077500E0;-5,497645569E1;5,081550598E0;-4,789709473E1
5,065571542E0;-5,554827881E1;4,623497009E0;-5,478936768E1
5,166064542E0;-5,946337891E1;7,900596619E0;-5,528262329E1
5,266557542E0;-5,487390137E1;1,120626068E1;-5,805397034E1
5,367051542E0;-5,020069885E1;1,427829742E1;-6,012849426E1
5,467544542E0;-4,756266785E1;1,742567444E1;-6,617353821E1
5,568038542E0;-4,441346741E1;1,859256744E1;-6,956710815E1
5,668531542E0;-4,632373047E1;1,267766571E1;-6,476300049E1
5,769025542E0;-5,060144043E1;1,240741730E1;-6,271171570E1
5,869518542E0;-5,691027832E1;1,016411591E1;-5,969029236E1
5,970011542E0;-6,011787415E1;1,241028595E1;-5,746656799E1
6,070505250E0;-6,210726929E1;1,461410522E1;-5,670480347E1
6,170998250E0;-6,639140320E1;1,462015533E1;-6,004151917E1
6,271492250E0;-7,299710083E1;1,851262665E1;-5,815473938E1
6,371985250E0;-6,917095947E1;2,448125458E1;-6,010493469E1
6,472479250E0;-5,787333679E1;2,884156799E1;-6,467219543E1
6,572972250E0;-5,318399048E1;3,289429474E1;-6,944897461E1
6,673466250E0;-5,032975769E1;3,637879181E1;-7,215209961E1
6,773959250E0;-4,507450867E1;3,483849335E1;-7,198661804E1
6,874452250E0;-5,361640930E1;2,916110992E1;-6,665242004E1
6,974946250E0;-6,016247559E1;2,734817505E1;-6,546989441E1
7,075438917E0;-6,689228821E1;2,806465149E1;-6,111273193E1
